title,company,ratings,reviews,years,location,days,salary,skills,key_skills
AM - Data Science & Analytics,Starbucks,4.3,626,2-7 ,"Mumbai, Navi Mumbai, Mumbai (All Areas)",2,7-9 Lacs PA,Data ScienceExcelProblem SolvingTableauSQLPower BiAnalyticsBi,"Data Science,Excel,SQL,Power Bi"
Data Science & Analytics Engagement Lead,CANPACK,4.3,236,5-18,Pune,1,Not disclosed,Computer sciencedata scienceAnalyticalMachine learningEngagement Leadpower biData qualityData mining,"data science,Machine learning,power bi,Data mining"
"Data Science Analyst, Product Knowledge",,,,7-12,Bengaluru,7,Not disclosed,Data analysisData validationInterpersonal skillsExceldata scienceData analyticsTechnology solutionsSEO,"Data analysis,Excel,data science,Data analytics"
Real-Time Analytics and Data Science Lead,FIS,3.9,5144,3-6 ,Gurugram,3,Not disclosed,data scienceEnterprise architectureMachine learningbusiness rulesData analyticsData miningObject oriented programmingAnalytics,"data science,Machine learning,Data analytics,Data mining"
Data Science Professional,NeoSOFT,4.0,1478,2-10,Mumbai,2,Not disclosed,matlabalgorithmspythondata analyticssascredit risklgdbusiness analysis,"python,data analytics,sas,business analysis"
Data Science Professional,Davinta Financial Services,4.5,13,2-5 ,Bengaluru,2,Not disclosed,matlabalgorithmspythondata analyticssascredit risklgdbusiness analysis,"python,data analytics,sas,business analysis"
Manager -Data Science-Digital Product & Transformation -IFS,Pricewaterhouse Coopers Private Limited,3.5,7922,8-12,Gurugram,8,Not disclosed,TrainingData analysisdata scienceAnalyticalIFSManager TechnologyData analyticsManagement,"ai,Data analysis,data science,Data analytics"
Data Science Consultant For HLBIA Marketing Analytics,Wells Fargo,4.0,5650,3-6 ,Bengaluru,3,Not disclosed,Computer scienceremediationGoogle Analyticsdigital contentdata scienceDigital marketingOperationsMonitoring,data science
Senior Manager - Data Science and Analytics,,,,5-10,Pune,5,Not disclosed,Computer scienceData analysisStatistical analysisdata scienceMachine learningProgrammingData qualitydata visualization,"Data analysis,Statistical analysis,data science,Machine learning,visualization"
Senior Developer - Data Science/ BI,,,,7-12,"Noida, Bangalore/Bengaluru",7,14-24 Lacs PA,Power BIssasssrsMSBISSISData ScienceBI DeveloperMicrosoft BI,"Power BI,sas,Data Science"
Analyst-Data Science,,,,1-3 ,Gurugram,1,Not disclosed,Product managementCareer developmentOperations researchCompetitive analysisFinanceAnalyticalInformation technologySQL,SQL
Analyst-Data Science,AMERICAN EXPRESS,4.2,2828,1-4 ,Gurugram,1,Not disclosed,Product managementCareer developmentOperations researchCompetitive analysisFinanceAnalyticalInformation technologySQL,SQL
Senior Engineer Consultant-Data Science,,,,4-9 ,Hybrid - Chennai,4,Not disclosed,Machine learning techniquesTraditional statistical techniquesCloud-based predictive modeling solutionsA/B TestingPredictive and Prescriptive modelingMulti-armed Bandit testingProject ManagementPython libraries,"Machine learning,Python"
S&C Global Network - AI - Hi Tech - Data Science Manager,Accenture,4.0,49777,0-12,"Hyderabad, Gurugram, Bengaluru",1,Not disclosed,pythonnatural language processingmicrosoft azuredata scienceawstime series analysiscustomer analyticsneural networks,"python,azure,data science,time series analysis,neural networks"
Engineering Manager - AI & Data Science,Cyara,3.4,11,5-8 ,Hyderabad,5,Not disclosed,Product managementComputer scienceAssurancedata scienceCodingAnalyticalMachine learningMonitoring,"data science,Machine learning"
S&C Global Network - AI - CMT - Analyst Data Science,Accenture,4.0,49777,5-9 ,"Hyderabad, Gurugram, Bengaluru",5,Not disclosed,mathematicsdata miningdata sciencetelcostatisticscnnpythonpyspark,"data mining,data science,statistics,python,pyspark"
DATA SCIENCE Professional,Capgemini,3.8,36904,6-9 ,"Hyderabad, Pune, Bengaluru",6,Not disclosed,Pythondeep learningnlpdata sciencetime serieshtmlmachine learningartificial intelligence,"Python,deep learning,nlp,data science,ml,machine learning,artificial intelligence"
Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CARBYNETECH,4.3,27,4-8 ,Hyderabad,4,Not disclosed,Data ScienceTensorflowRArtificial IntelligenceScalaTime Series ForecastingBig DataMachine Learning,"Data Science,Tensorflow,Artificial Intelligence,Big Data,Machine Learning"
Data Science Engineer - Deep Learning/Neural Networks,CARBYNETECH,4.3,27,3-7 ,Hyderabad,3,Not disclosed,Data ScienceNLPLSTMPython developmentNeural NetworksBERTDeep LearningPython,"Data Science,NLP,Python,Neural Networks,Deep Learning,Python"
Data Science Engineer - Machine / Deep Learning Models- R/Python/Scala,CARBYNETECH,4.3,27,4-8 ,Hyderabad,4,Not disclosed,Data ScienceRArtificial IntelligenceScalaBig DataTime Series modelingMachine LearningDeep Learning,"Data Science,Artificial Intelligence,Big Data,Machine Learning,Deep Learning"
Data science engineer (Artificial intelligence) - Eclature,Eclature,3.3,19,5-10,Hyderabad,5,Not disclosed,Computer visionLogistic regressiondata scienceArtificial IntelligenceShell scriptingMachine learningProgrammingHTML,"data science,Artificial Intelligence,Machine learning,ML"
"Senior Expert Data Science- CRM (Cardiovascular, Renal, Metabolism)",Novartis,4.1,1448,4-7 ,Hyderabad,4,Not disclosed,Data analysisCardiovascularPharmaAnalyticalProteomicsMachine learningGeneticsBioinformatics,"Data analysis,Machine learning"
